demo_customer_id,customer_unique_id,display_name,demo_email,total_orders,primary_scenario,sample_order_id,customer_city,customer_state
DEMO_00001,8d50f5eadf50201ccdcedfb9e2ac8455,Customer 00001,customer_00001@demo.internal,17,VIP_REPEAT_BUYER_17_ORDERS,c2213109a2cc0e75d55585b7aaac6d97,sao paulo,SP
DEMO_00002,3e43e6105506432c953e165fb2acf44c,Customer 00002,customer_00002@demo.internal,9,HIGH_VOLUME_REPEAT_BUYER_9_ORDERS,826b47e4cd7bba4e4c6fa5485f898b74,praia grande,SP
DEMO_00003,1b6c7548a2a1f9037c1fd3ddfed95f33,Customer 00003,customer_00003@demo.internal,7,REPEAT_BUYER_7_ORDERS,43f08913407cac4e74a898d968e58c1a,ituiutaba,MG
DEMO_00004,6469f99c1f9dfae7733b25662e7f1782,Customer 00004,customer_00004@demo.internal,7,REPEAT_BUYER_7_ORDERS,72a704e8fb6c499fad9b26bd8873bd39,santos,SP
DEMO_00005,ca77025e7201e3b30c44b472ff346268,Customer 00005,customer_00005@demo.internal,7,REPEAT_BUYER_7_ORDERS,9e22fb4a47d29059ef9689ca8b26d8b3,recife,PE
DEMO_00006,08fb46d35bb3ab4037202c23592d1259,Customer 00006,customer_00006@demo.internal,2,IN_TRANSIT_SHIPPED_ORDER,ee64d42b8cf066f35eac1cf57de1aa85,jundiai,SP
DEMO_00007,528b011eb7fab3d59c336cc7248eed3a,Customer 00007,customer_00007@demo.internal,1,IN_TRANSIT_SHIPPED_ORDER,6942b8da583c2f9957e990d028607019,paracatu,MG
DEMO_00008,8ea097b1824dbd4d17af71b0afe04301,Customer 00008,customer_00008@demo.internal,1,CANCELED_ORDER_REFUND_INQUIRY,1b9ecfe83cdc259250e1a8aca174f0ad,sao paulo,SP
DEMO_00009,c4ebedb09beb89cc0314c5c0c33f8053,Customer 00009,customer_00009@demo.internal,2,CANCELED_ORDER_REFUND_INQUIRY,714fb133a6730ab81fa1d3c1b2007291,diadema,SP
DEMO_00010,41fc647b8c6bd979b1b6364b60471b50,Customer 00010,customer_00010@demo.internal,1,UNAVAILABLE_ORDER_ESCALATION,8e24261a7e58791d10cb1bf9da94df5c,sao bento do sul,SC
DEMO_00011,773ee7ce02151eee86443dbdb515e271,Customer 00011,customer_00011@demo.internal,1,DELIVERED_MULTI_ITEM_ORDER_5_ITEMS,02a065131a2d2b72b45e2c63135606ad,pato branco,PR
DEMO_00012,e2381d9bb9b49c35fff077d4ae613816,Customer 00012,customer_00012@demo.internal,1,SPLIT_PAYMENT_VOUCHER_AND_CREDIT,5cfd514482e22bc992e7693f0e3e8df7,arapora,MG
DEMO_00013,72632f0f9dd73dfee390c9b22eb56dd6,Customer 00013,customer_00013@demo.internal,1,DELIVERED_STANDARD_SP,ad21c59c0840e6cb83a9ceb5573f8159,santo andre,SP
DEMO_00014,932afa1e708222e5821dac9cd5db4cae,Customer 00014,customer_00014@demo.internal,1,DELIVERED_STANDARD_RJ,6514b8ad8028c9f2cc2374ded245783f,nilopolis,RJ
DEMO_00015,e97109680b052ee858d93a539597bba7,Customer 00015,customer_00015@demo.internal,1,DELIVERED_STANDARD_MG,82566a660a982b15fb86e904c8d32918,ouro preto,MG
DEMO_00016,39382392765b6dc74812866ee5ee92a7,Customer 00016,customer_00016@demo.internal,1,DELIVERED_STANDARD_RS,76c6e866289321a7c93b82b54852dc33,faxinalzinho,RS
DEMO_00017,80bb27c7c16e8f973207a5086ab329e2,Customer 00017,customer_00017@demo.internal,1,DELIVERED_STANDARD_PR,a4591c265e18cb1dcee52889e2d8acc3,congonhinhas,PR
DEMO_00018,af07308b275d755c9edb36a90c618231,Customer 00018,customer_00018@demo.internal,1,DELIVERED_STANDARD_BA,53cdb2fc8bc7dce0b6741e2150273451,barreiras,BA
DEMO_00019,6087cfc70fd833cf2db637a5e6e9d76b,Customer 00019,customer_00019@demo.internal,1,DELIVERED_STANDARD_SC,116f0b09343b49556bbad5f35bee0cdf,imbituba,SC
DEMO_00020,4ca5f90433afb5493247f0bafb583483,Customer 00020,customer_00020@demo.internal,1,DELIVERED_STANDARD_DF,948097deef559c742e7ce321e5e58919,brasilia,DF
DEMO_00021,3a653a41f6f9fc3d2a113cf8398680e8,Customer 00021,customer_00021@demo.internal,1,DELIVERED_STANDARD_GO,47770eb9100c2d0c44946d9cf07ec65d,vianopolis,GO
DEMO_00022,a6fefcd9f434474cf6fcd8ed1102fd63,Customer 00022,customer_00022@demo.internal,1,DELIVERED_STANDARD_PE,1790eea0b567cf50911c057cf20f90f9,palmares,PE
DEMO_00023,661a5e18a28b34880ccc60112f2b8e8e,Customer 00023,customer_00023@demo.internal,1,DELIVERED_STANDARD_CE,60550084e6b4c0cb89a87df1f3e5ebd9,ibiapina,CE
DEMO_00024,6110fc2216f14d1efaa683050a262e90,Customer 00024,customer_00024@demo.internal,1,DELIVERED_STANDARD_ES,74ebfa44a323c96a7760bd693d690a3d,serra,ES
DEMO_00025,a7e7b19ff34ab885f7b7331de2417cf3,Customer 00025,customer_00025@demo.internal,1,DELIVERED_STANDARD_MT,a910f58086d58b3ae6f37aa712d377b9,cuiaba,MT
